Region,Value
Abai Region,63212.916666666664
Akmola Region,79216.08333333333
Aktobe Region,74804.5
Almaty Region,76677.33333333333
Atyrau Region,67757.5
West Kazakhstan Region,63647.416666666664
Jambyl Region,61582.75
Jetisu Region,75924.33333333333
Karaganda Region,101463.41666666667
Kostanay Region,75662.91666666667
Kyzylorda Region,63810.0
Mangystau Region,67617.91666666667
Южно-Казахстанская,-
Pavlodar Region,85524.5
North Kazakhstan Region,88905.25
Turkistan Region,56350.416666666664
Ulytau Region,88613.75
East Kazakhstan Region,97411.66666666667
Astana city,92671.91666666667
Almaty city,105837.58333333333
Shymkent city,57873.75
